Trainname,TrainID,CURRENT_DATE,RollingStockFitnessStatus,SignallingFitnessStatus,TelecomFitnessStatus,RollingStockFitnessExpiryDate,SignallingFitnessExpiryDate,TelecomFitnessExpiryDate,JobCardStatus,OpenJobCards,ClosedJobCards,LastJobCardUpdate,BrandingActive,BrandCampaignID,ExposureHoursAccrued,ExposureHoursTarget,ExposureDailyQuota,TotalMileageKM,MileageSinceLastServiceKM,MileageBalanceVariance,BrakepadWear%,HVACWear%,CleaningRequired,CleaningSlotStatus,BayOccupancyIDC,LastCleanedDate,BayPositionID,ShuntingMovesRequired,StablingSequenceOrder,JobCardPriority,BrandingCompletionRatio,MileageBalanceAbs,CleaningPriority,ShuntingPriority,SignallingFitnessExpiryDate_days,TelecomFitnessExpiryDate_days,RollingStockFitnessExpiryDate_days,LastJobCardUpdate_days,LastCleanedDate_days,CleaningRequired_flag,BrandingActive_flag,JobCardStatus_enc,Score,Rank,AssignedAction,DayIndex
Tapti,T02,15-09-2025,TRUE,TRUE,TRUE,14-05-2026,22-04-2026,17-03-2026,close,0,0,01-02-2025,TRUE,KMM-RLJ-WRP-25-02,337,320,16,15833,2289,29292282395.61,11,17,FALSE,0,,20-01-2023,1,0,1,0,0.953125,172137.88,0,0,213,177,235,-228,30,0,1,0,152.5270137775141,7,2,4
Narmada,T19,15-09-2025,TRUE,TRUE,TRUE,30-09-2026,16-08-2026,08-07-2026,close,0,1,08-02-2023,FALSE,,0,0,0,10270,0,29292282395.61,14,18,FALSE,0,,13-06-2024,10,1,2,0,1,177700.88,0,1,329,290,374,-952,30,0,0,0,193.9259303507021,4,2,4
Aruth,T05,15-09-2025,TRUE,TRUE,TRUE,05-12-2026,30-09-2026,29-04-2026,close,1,1,19-08-2025,FALSE,,0,0,0,8184,3133,29292282395.61,78,8,FALSE,0,,06-04-2023,10,0,1,0,1,179786.88,0,0,374,220,440,-29,30,0,0,0,226.55864884376564,3,0,4
Pampa,T18,15-09-2025,TRUE,TRUE,TRUE,19-07-2026,24-05-2026,29-03-2026,close,0,5,28-08-2024,FALSE,,0,0,0,15535,0,29292282395.61,72,24,FALSE,0,,03-12-2023,13,2,3,0,1,172435.88,0,2,245,189,301,-385,30,0,0,0,142.81037886968937,8,0,4
Nila,T03,15-09-2025,TRUE,TRUE,TRUE,08-07-2026,11-01-2026,02-06-2026,close,1,2,02-03-2025,FALSE,,0,0,0,45306,0,29292282395.61,59,38,FALSE,0,,17-08-2023,12,1,2,0,1,142664.88,0,1,112,254,290,-199,30,0,0,0,80.48674802923617,14,1,4
Pavan,T25,15-09-2025,TRUE,TRUE,TRUE,14-09-2026,27-10-2026,18-06-2026,close,1,7,14-08-2025,TRUE,KMM-RLJ-WRP-25-13,368,320,0,359903,2102,29292282395.61,43,7,FALSE,0,,30-01-2023,13,1,2,0,1,171932.12,0,1,401,270,358,-34,30,0,1,0,80.5280898489809,13,0,4
Mahe,T20,15-09-2025,TRUE,TRUE,TRUE,12-02-2026,07-01-2026,20-05-2026,close,0,1,07-06-2025,FALSE,,0,0,0,482187,800,29292282395.61,63,5,FALSE,0,,25-05-2023,16,0,1,0,1,294216.12,0,0,108,241,144,-102,30,0,0,0,59.75435839407343,22,0,4
Kaveri,T16,15-09-2025,TRUE,TRUE,TRUE,17-03-2026,09-04-2026,11-02-2026,close,0,5,09-05-2025,FALSE,,0,0,0,400811,2814,29292282395.61,78,23,FALSE,0,,01-01-2023,1,3,3,0,1,212840.12,0,3,200,143,177,-131,30,0,0,0,61.58884166139673,21,0,4
Bhavani,T09,15-09-2025,TRUE,TRUE,TRUE,25-02-2026,21-05-2026,18-04-2026,open,1,1,20-10-2025,TRUE,KMM-RLJ-WRP-25-05,319,320,16,126654,1093,29292282395.61,25,99,FALSE,0,,01-07-2024,2,0,1,1,0.946875,61316.880000000005,0,0,242,209,157,33,30,0,1,1,77.40151562634874,16,0,4
Mandakini,T11,15-09-2025,TRUE,TRUE,TRUE,11-06-2026,14-09-2026,21-08-2026,open,1,7,17-05-2024,TRUE,KMM-RLJ-WRP-25-06,336,320,16,222491,5444,29292282395.61,14,100,FALSE,0,,21-03-2024,3,0,1,1,0.9,34520.119999999995,0,0,358,334,263,-488,30,0,1,1,80.92734508067244,12,0,4
