Trainname,TrainID,CURRENT_DATE,RollingStockFitnessStatus,SignallingFitnessStatus,TelecomFitnessStatus,RollingStockFitnessExpiryDate,SignallingFitnessExpiryDate,TelecomFitnessExpiryDate,JobCardStatus,OpenJobCards,ClosedJobCards,LastJobCardUpdate,BrandingActive,BrandCampaignID,ExposureHoursAccrued,ExposureHoursTarget,ExposureDailyQuota,TotalMileageKM,MileageSinceLastServiceKM,MileageBalanceVariance,BrakepadWear%,HVACWear%,CleaningRequired,CleaningSlotStatus,BayOccupancyIDC,LastCleanedDate,BayPositionID,ShuntingMovesRequired,StablingSequenceOrder,JobCardPriority,BrandingCompletionRatio,MileageBalanceAbs,CleaningPriority,ShuntingPriority,SignallingFitnessExpiryDate_days,TelecomFitnessExpiryDate_days,RollingStockFitnessExpiryDate_days,LastJobCardUpdate_days,LastCleanedDate_days,CleaningRequired_flag,BrandingActive_flag,JobCardStatus_enc,Score,Rank,AssignedAction,DayIndex
Tapti,T02,15-09-2025,TRUE,TRUE,TRUE,14-05-2026,22-04-2026,17-03-2026,close,0,0,01-02-2025,TRUE,KMM-RLJ-WRP-25-02,305,320,16,15033,1489,8511,11,17,FALSE,0,,20-01-2023,1,0,1,0,0.953125,8511,0,0,217,181,239,-228,-971,0,1,0,75.4242406191297,10,0,0
Narmada,T19,15-09-2025,TRUE,TRUE,TRUE,30-09-2026,16-08-2026,08-07-2026,close,0,1,08-02-2023,FALSE,,0,0,0,9470,1365,8635,14,18,FALSE,0,,13-06-2024,10,1,2,0,1,8635,0,1,333,294,378,-952,-461,0,0,0,71.18459150818072,13,0,0
Aruth,T05,15-09-2025,TRUE,TRUE,TRUE,05-12-2026,30-09-2026,29-04-2026,close,0,1,19-08-2025,FALSE,,0,0,0,6584,1533,8467,78,8,FALSE,0,,06-04-2023,10,0,1,0,1,8467,0,0,378,224,444,-29,-895,0,0,0,70.3846986575048,14,0,0
Pampa,T18,15-09-2025,TRUE,TRUE,TRUE,19-07-2026,24-05-2026,29-03-2026,close,0,5,28-08-2024,FALSE,,0,0,0,15135,6435,3565,72,24,FALSE,0,,03-12-2023,13,2,3,0,1,3565,0,2,249,193,305,-385,-654,0,0,0,61.520025176713844,19,0,0
Nila,T03,15-09-2025,TRUE,TRUE,TRUE,08-07-2026,11-01-2026,02-06-2026,close,0,2,02-03-2025,FALSE,,0,0,0,44506,1899,8101,59,38,FALSE,0,,17-08-2023,12,1,2,0,1,8101,0,1,116,258,294,-199,-762,0,0,0,57.17679680842527,21,0,0
Pavan,T25,15-09-2025,TRUE,TRUE,TRUE,14-09-2026,27-10-2026,18-06-2026,close,0,7,14-08-2025,TRUE,KMM-RLJ-WRP-25-13,320,320,0,358703,902,9098,43,7,FALSE,0,,30-01-2023,13,1,2,0,1,9098,0,1,405,274,362,-34,-961,0,1,0,76.07721325269698,8,0,0
Mahe,T20,15-09-2025,TRUE,TRUE,TRUE,12-02-2026,07-01-2026,20-05-2026,close,0,1,07-06-2025,FALSE,,0,0,0,480987,1173,8827,63,5,FALSE,0,,25-05-2023,16,0,1,0,1,8827,0,0,112,245,148,-102,-846,0,0,0,55.507501854090584,23,0,0
Kaveri,T16,15-09-2025,TRUE,TRUE,TRUE,17-03-2026,09-04-2026,11-02-2026,close,0,5,09-05-2025,FALSE,,0,0,0,400011,2014,7986,78,23,FALSE,0,,01-01-2023,1,3,3,0,1,7986,0,3,204,147,181,-131,-990,0,0,0,57.94767849350163,20,1,0
Bhavani,T09,15-09-2025,TRUE,TRUE,TRUE,25-02-2026,21-05-2026,18-04-2026,open,1,1,20-10-2025,TRUE,KMM-RLJ-WRP-25-05,303,320,16,126254,693,9307,25,99,FALSE,0,,01-07-2024,2,0,1,1,0.946875,9307,0,0,246,213,161,33,-443,0,1,1,74.5152021864624,11,0,0
Mandakini,T11,15-09-2025,TRUE,TRUE,TRUE,11-06-2026,14-09-2026,21-08-2026,open,1,7,17-05-2024,TRUE,KMM-RLJ-WRP-25-06,288,320,16,221291,4244,5756,14,100,FALSE,0,,21-03-2024,3,0,1,1,0.9,5756,0,0,362,338,267,-488,-545,0,1,1,80.15056177584306,4,0,0
