Trainname,TrainID,CURRENT_DATE,RollingStockFitnessStatus,SignallingFitnessStatus,TelecomFitnessStatus,RollingStockFitnessExpiryDate,SignallingFitnessExpiryDate,TelecomFitnessExpiryDate,JobCardStatus,OpenJobCards,ClosedJobCards,LastJobCardUpdate,BrandingActive,BrandCampaignID,ExposureHoursAccrued,ExposureHoursTarget,ExposureDailyQuota,TotalMileageKM,MileageSinceLastServiceKM,MileageBalanceVariance,BrakepadWear%,HVACWear%,CleaningRequired,CleaningSlotStatus,BayOccupancyIDC,LastCleanedDate,BayPositionID,ShuntingMovesRequired,StablingSequenceOrder,JobCardPriority,BrandingCompletionRatio,MileageBalanceAbs,CleaningPriority,ShuntingPriority,SignallingFitnessExpiryDate_days,TelecomFitnessExpiryDate_days,RollingStockFitnessExpiryDate_days,LastJobCardUpdate_days,LastCleanedDate_days,CleaningRequired_flag,BrandingActive_flag,JobCardStatus_enc,Score,Rank,AssignedAction,DayIndex
Tapti,T02,15-09-2025,TRUE,TRUE,TRUE,14-05-2026,22-04-2026,17-03-2026,close,0,0,01-02-2025,TRUE,KMM-RLJ-WRP-25-02,337,320,16,15833,2289,29284113678.27667,11,17,FALSE,0,,20-01-2023,1,0,1,0,0.953125,171801.88,0,0,215,179,237,-228,30,0,1,0,152.46374294272044,7,1,2
Narmada,T19,15-09-2025,TRUE,TRUE,TRUE,30-09-2026,16-08-2026,08-07-2026,close,0,1,08-02-2023,FALSE,,0,0,0,10270,2165,29284113678.27667,14,18,FALSE,0,,13-06-2024,10,1,2,0,1,177364.88,0,1,331,292,376,-952,30,0,0,0,193.77644588313586,4,1,2
Aruth,T05,15-09-2025,TRUE,TRUE,TRUE,05-12-2026,30-09-2026,29-04-2026,close,1,1,19-08-2025,FALSE,,0,0,0,7384,2333,29284113678.27667,78,8,FALSE,0,,06-04-2023,10,0,1,0,1,180250.88,0,0,376,222,442,-29,30,0,0,0,244.97639231722266,3,0,2
Pampa,T18,15-09-2025,TRUE,TRUE,TRUE,19-07-2026,24-05-2026,29-03-2026,close,0,5,28-08-2024,FALSE,,0,0,0,15535,6835,29284113678.27667,72,24,FALSE,0,,03-12-2023,13,2,3,0,1,172099.88,0,2,247,191,303,-385,30,0,0,0,142.74405492571304,8,1,2
Nila,T03,15-09-2025,TRUE,TRUE,TRUE,08-07-2026,11-01-2026,02-06-2026,close,0,2,02-03-2025,FALSE,,0,0,0,44906,2299,29284113678.27667,59,38,FALSE,0,,17-08-2023,12,1,2,0,1,142728.88,0,1,114,256,292,-199,30,0,0,0,79.55369486190557,15,0,2
Pavan,T25,15-09-2025,TRUE,TRUE,TRUE,14-09-2026,27-10-2026,18-06-2026,close,1,7,14-08-2025,TRUE,KMM-RLJ-WRP-25-13,352,320,0,359503,1702,29284113678.27667,43,7,FALSE,0,,30-01-2023,13,1,2,0,1,171868.12,0,1,403,272,360,-34,30,0,1,0,80.62663156946309,13,0,2
Mahe,T20,15-09-2025,TRUE,TRUE,TRUE,12-02-2026,07-01-2026,20-05-2026,close,0,1,07-06-2025,FALSE,,0,0,0,481387,0,29284113678.27667,63,5,FALSE,0,,25-05-2023,16,0,1,0,1,293752.12,0,0,110,243,146,-102,30,0,0,0,59.85062484519693,22,0,2
Kaveri,T16,15-09-2025,TRUE,TRUE,TRUE,17-03-2026,09-04-2026,11-02-2026,close,0,5,09-05-2025,FALSE,,0,0,0,400411,2414,29284113678.27667,78,23,FALSE,0,,01-01-2023,1,3,3,0,1,212776.12,0,3,202,145,179,-131,30,0,0,0,61.68751189319834,21,0,2
Bhavani,T09,15-09-2025,TRUE,TRUE,TRUE,25-02-2026,21-05-2026,18-04-2026,open,1,1,20-10-2025,TRUE,KMM-RLJ-WRP-25-05,319,320,16,126654,1093,29284113678.27667,25,99,FALSE,0,,01-07-2024,2,0,1,1,0.946875,60980.880000000005,0,0,244,211,159,33,30,0,1,1,77.47750931053032,16,1,2
Mandakini,T11,15-09-2025,TRUE,TRUE,TRUE,11-06-2026,14-09-2026,21-08-2026,open,1,7,17-05-2024,TRUE,KMM-RLJ-WRP-25-06,320,320,16,222091,5044,29284113678.27667,14,100,FALSE,0,,21-03-2024,3,0,1,1,0.9,34456.119999999995,0,0,360,336,265,-488,30,0,1,1,81.02317001662072,12,0,2
