Trainname,TrainID,CURRENT_DATE,RollingStockFitnessStatus,SignallingFitnessStatus,TelecomFitnessStatus,RollingStockFitnessExpiryDate,SignallingFitnessExpiryDate,TelecomFitnessExpiryDate,JobCardStatus,OpenJobCards,ClosedJobCards,LastJobCardUpdate,BrandingActive,BrandCampaignID,ExposureHoursAccrued,ExposureHoursTarget,ExposureDailyQuota,TotalMileageKM,MileageSinceLastServiceKM,MileageBalanceVariance,BrakepadWear%,HVACWear%,CleaningRequired,CleaningSlotStatus,BayOccupancyIDC,LastCleanedDate,BayPositionID,ShuntingMovesRequired,StablingSequenceOrder,JobCardPriority,BrandingCompletionRatio,MileageBalanceAbs,CleaningPriority,ShuntingPriority,SignallingFitnessExpiryDate_days,TelecomFitnessExpiryDate_days,RollingStockFitnessExpiryDate_days,LastJobCardUpdate_days,LastCleanedDate_days,CleaningRequired_flag,BrandingActive_flag,JobCardStatus_enc,Score,Rank,AssignedAction,DayIndex
Tapti,T02,15-09-2025,TRUE,TRUE,TRUE,14-05-2026,22-04-2026,17-03-2026,close,0,0,01-02-2025,TRUE,KMM-RLJ-WRP-25-02,337,320,16,15833,0,29305419414.27667,11,17,FALSE,0,,20-01-2023,1,0,1,0,0.953125,172345.88,0,0,212,176,234,-228,30,0,1,0,152.57759696223115,7,0,5
Narmada,T19,15-09-2025,TRUE,TRUE,TRUE,30-09-2026,16-08-2026,08-07-2026,close,0,1,08-02-2023,FALSE,,0,0,0,10270,0,29305419414.27667,14,18,FALSE,0,,13-06-2024,10,1,2,0,1,177908.88,0,1,328,289,373,-952,30,0,0,0,194.0298838795164,4,0,5
Aruth,T05,15-09-2025,TRUE,TRUE,TRUE,05-12-2026,30-09-2026,29-04-2026,close,1,1,19-08-2025,FALSE,,0,0,0,8584,3533,29305419414.27667,78,8,FALSE,0,,06-04-2023,10,0,1,0,1,179594.88,0,0,373,219,439,-29,30,0,0,0,218.66537727436483,3,0,5
Pampa,T18,15-09-2025,TRUE,TRUE,TRUE,19-07-2026,24-05-2026,29-03-2026,close,0,5,28-08-2024,FALSE,,0,0,0,15935,400,29305419414.27667,72,24,FALSE,0,,03-12-2023,13,2,3,0,1,172243.88,0,2,244,188,300,-385,30,0,0,0,140.5823587323438,8,0,5
Nila,T03,15-09-2025,TRUE,TRUE,TRUE,08-07-2026,11-01-2026,02-06-2026,close,1,2,02-03-2025,FALSE,,0,0,0,45306,0,29305419414.27667,59,38,FALSE,0,,17-08-2023,12,1,2,0,1,142872.88,0,1,111,253,289,-199,30,0,0,0,80.47323534938063,14,2,5
Pavan,T25,15-09-2025,TRUE,TRUE,TRUE,14-09-2026,27-10-2026,18-06-2026,close,1,7,14-08-2025,TRUE,KMM-RLJ-WRP-25-13,384,320,0,360303,2502,29305419414.27667,43,7,FALSE,0,,30-01-2023,13,1,2,0,1,172124.12,0,1,400,269,357,-34,30,0,1,0,80.48016364480127,13,0,5
Mahe,T20,15-09-2025,TRUE,TRUE,TRUE,12-02-2026,07-01-2026,20-05-2026,close,0,1,07-06-2025,FALSE,,0,0,0,482587,1200,29305419414.27667,63,5,FALSE,0,,25-05-2023,16,0,1,0,1,294408.12,0,0,107,240,143,-102,30,0,0,0,59.705603986474564,22,1,5
Kaveri,T16,15-09-2025,TRUE,TRUE,TRUE,17-03-2026,09-04-2026,11-02-2026,close,0,5,09-05-2025,FALSE,,0,0,0,401211,3214,29305419414.27667,78,23,FALSE,0,,01-01-2023,1,3,3,0,1,213032.12,0,3,199,142,176,-131,30,0,0,0,61.540514933735814,21,0,5
Bhavani,T09,15-09-2025,TRUE,TRUE,TRUE,25-02-2026,21-05-2026,18-04-2026,open,1,1,20-10-2025,TRUE,KMM-RLJ-WRP-25-05,335,320,16,127054,1493,29305419414.27667,25,99,FALSE,0,,01-07-2024,2,0,1,1,0.946875,61124.880000000005,0,0,241,208,156,33,30,0,1,1,77.33080539877847,16,1,5
Mandakini,T11,15-09-2025,TRUE,TRUE,TRUE,11-06-2026,14-09-2026,21-08-2026,open,1,7,17-05-2024,TRUE,KMM-RLJ-WRP-25-06,352,320,16,222891,5844,29305419414.27667,14,100,FALSE,0,,21-03-2024,3,0,1,1,0.9,34712.119999999995,0,0,357,333,262,-488,30,0,1,1,80.8837721530396,12,1,5
