Trainname,TrainID,CURRENT_DATE,RollingStockFitnessStatus,SignallingFitnessStatus,TelecomFitnessStatus,RollingStockFitnessExpiryDate,SignallingFitnessExpiryDate,TelecomFitnessExpiryDate,JobCardStatus,OpenJobCards,ClosedJobCards,LastJobCardUpdate,BrandingActive,BrandCampaignID,ExposureHoursAccrued,ExposureHoursTarget,ExposureDailyQuota,TotalMileageKM,MileageSinceLastServiceKM,MileageBalanceVariance,BrakepadWear%,HVACWear%,CleaningRequired,CleaningSlotStatus,BayOccupancyIDC,LastCleanedDate,BayPositionID,ShuntingMovesRequired,StablingSequenceOrder,JobCardPriority,BrandingCompletionRatio,MileageBalanceAbs,CleaningPriority,ShuntingPriority,SignallingFitnessExpiryDate_days,TelecomFitnessExpiryDate_days,RollingStockFitnessExpiryDate_days,LastJobCardUpdate_days,LastCleanedDate_days,CleaningRequired_flag,BrandingActive_flag,JobCardStatus_enc,Score,Rank,AssignedAction,DayIndex
Tapti,T02,15-09-2025,TRUE,TRUE,TRUE,14-05-2026,22-04-2026,17-03-2026,close,0,0,01-02-2025,TRUE,KMM-RLJ-WRP-25-02,321,320,16,15433,1889,29283611992.943333,11,17,FALSE,0,,20-01-2023,1,0,1,0,0.953125,171993.88,0,0,216,180,238,-228,30,0,1,0,154.71428132321023,7,0,1
Narmada,T19,15-09-2025,TRUE,TRUE,TRUE,30-09-2026,16-08-2026,08-07-2026,close,0,1,08-02-2023,FALSE,,0,0,0,9870,1765,29283611992.943333,14,18,FALSE,0,,13-06-2024,10,1,2,0,1,177556.88,0,1,332,293,377,-952,30,0,0,0,199.21958646570806,4,0,1
Aruth,T05,15-09-2025,TRUE,TRUE,TRUE,05-12-2026,30-09-2026,29-04-2026,close,0,1,19-08-2025,FALSE,,0,0,0,6984,1933,29283611992.943333,78,8,FALSE,0,,06-04-2023,10,0,1,0,1,180442.88,0,0,377,223,443,-29,30,0,0,0,254.46635121161515,3,0,1
Pampa,T18,15-09-2025,TRUE,TRUE,TRUE,19-07-2026,24-05-2026,29-03-2026,close,0,5,28-08-2024,FALSE,,0,0,0,15535,6835,29283611992.943333,72,24,FALSE,0,,03-12-2023,13,2,3,0,1,171891.88,0,2,248,192,304,-385,30,0,0,0,142.69158172102573,8,1,1
Nila,T03,15-09-2025,TRUE,TRUE,TRUE,08-07-2026,11-01-2026,02-06-2026,close,0,2,02-03-2025,FALSE,,0,0,0,44906,2299,29283611992.943333,59,38,FALSE,0,,17-08-2023,12,1,2,0,1,142520.88,0,1,115,257,293,-199,30,0,0,0,79.5669008341898,16,1,1
Pavan,T25,15-09-2025,TRUE,TRUE,TRUE,14-09-2026,27-10-2026,18-06-2026,close,1,7,14-08-2025,TRUE,KMM-RLJ-WRP-25-13,336,320,0,359103,1302,29283611992.943333,43,7,FALSE,0,,30-01-2023,13,1,2,0,1,171676.12,0,1,404,273,361,-34,30,0,1,0,80.67456066340557,14,0,1
Mahe,T20,15-09-2025,TRUE,TRUE,TRUE,12-02-2026,07-01-2026,20-05-2026,close,0,1,07-06-2025,FALSE,,0,0,0,481387,1573,29283611992.943333,63,5,FALSE,0,,25-05-2023,16,0,1,0,1,293960.12,0,0,111,244,147,-102,30,0,0,0,59.901810686457495,22,2,1
Kaveri,T16,15-09-2025,TRUE,TRUE,TRUE,17-03-2026,09-04-2026,11-02-2026,close,0,5,09-05-2025,FALSE,,0,0,0,400011,2014,29283611992.943333,78,23,FALSE,0,,01-01-2023,1,3,3,0,1,212584.12,0,3,203,146,180,-131,-990,0,0,0,61.73584254513938,21,0,1
Bhavani,T09,15-09-2025,TRUE,TRUE,TRUE,25-02-2026,21-05-2026,18-04-2026,open,1,1,20-10-2025,TRUE,KMM-RLJ-WRP-25-05,319,320,16,126654,1093,29283611992.943333,25,99,FALSE,0,,01-07-2024,2,0,1,1,0.946875,60772.880000000005,0,0,245,212,160,33,30,0,1,1,77.51313749470272,17,1,1
Mandakini,T11,15-09-2025,TRUE,TRUE,TRUE,11-06-2026,14-09-2026,21-08-2026,open,1,7,17-05-2024,TRUE,KMM-RLJ-WRP-25-06,304,320,16,221691,4644,29283611992.943333,14,100,FALSE,0,,21-03-2024,3,0,1,1,0.9,34264.119999999995,0,0,361,337,266,-488,30,0,1,1,81.06671915924129,13,0,1
