TrainID,SignallingFitnessExpiryDate_days,TelecomFitnessExpiryDate_days,RollingStockFitnessExpiryDate_days,OpenJobCards,BrandingActive_flag,MileageSinceLastServiceKM,CleaningRequired_flag,CleaningSlotStatus,JobCardStatus,ClosedJobCards,LastJobCardUpdate_days,ExposureHoursAccrued,ExposureHoursTarget,ExposureDailyQuota,TotalMileageKM,MileageBalanceVariance,MileageBalanceAbs,BrakepadWear%,HVACWear%,BayPositionID,ShuntingMovesRequired,StablingSequenceOrder,JobCardPriority,JobCardStatus_enc,Score,Rank,LastCleanedDate_days,AssignedAction,DayIndex
TRAIN_000,27.0,27.0,27.0,0,0,6200,0,0,0,0,0,0,0,0,1200,174400.0,576.0,0,0,0,0,0,0,0,54.89452054139857,12,30.0,2,3
TRAIN_001,27.0,27.0,27.0,1,0,400,0,0,0,0,0,0,0,0,400,174400.0,224.0,0,0,0,0,0,0,0,56.74452040889859,6,30.0,0,3
TRAIN_002,27.0,27.0,27.0,0,0,5800,0,0,0,0,0,0,0,0,800,174400.0,176.0,0,0,0,0,0,0,0,52.94452054233607,17,30.0,1,3
TRAIN_003,27.0,27.0,27.0,0,0,6200,0,0,0,0,0,0,0,0,1200,174400.0,576.0,0,0,0,0,0,0,0,54.89452054139857,12,30.0,0,3
TRAIN_004,27.0,27.0,27.0,0,0,0,0,0,0,0,0,0,0,0,800,174400.0,176.0,0,0,0,0,0,0,0,52.94452054233607,17,30.0,0,3
TRAIN_005,27.0,27.0,27.0,0,0,5800,0,0,0,0,0,0,0,0,800,174400.0,176.0,0,0,0,0,0,0,0,52.94452054233607,17,30.0,2,3
TRAIN_006,27.0,27.0,27.0,0,0,5800,0,0,0,0,0,0,0,0,800,174400.0,176.0,0,0,0,0,0,0,0,52.94452054233607,17,30.0,1,3
TRAIN_007,27.0,27.0,27.0,0,0,5800,0,0,0,0,0,0,0,0,800,174400.0,176.0,0,0,0,0,0,0,0,52.94452054233607,17,30.0,2,3
TRAIN_008,27.0,27.0,27.0,0,0,6200,0,0,0,0,0,0,0,0,1200,174400.0,576.0,0,0,0,0,0,0,0,54.89452054139857,12,30.0,1,3
TRAIN_009,27.0,27.0,27.0,0,0,0,0,0,0,0,0,0,0,0,800,174400.0,176.0,0,0,0,0,0,0,0,52.94452054233607,17,30.0,2,3
TRAIN_010,27.0,27.0,27.0,0,0,800,0,0,0,0,0,0,0,0,800,174400.0,176.0,0,0,0,0,0,0,0,52.94452054233607,17,30.0,2,3
TRAIN_011,27.0,27.0,27.0,0,0,400,0,0,0,0,0,0,0,0,400,174400.0,224.0,0,0,0,0,0,0,0,55.49452053389857,8,30.0,0,3
TRAIN_012,27.0,27.0,27.0,0,0,6200,0,0,0,0,0,0,0,0,1200,174400.0,576.0,0,0,0,0,0,0,0,54.89452054139857,12,30.0,0,3
TRAIN_013,27.0,27.0,27.0,0,0,400,0,0,0,0,0,0,0,0,400,174400.0,224.0,0,0,0,0,0,0,0,55.49452053389857,8,30.0,2,3
TRAIN_014,27.0,27.0,27.0,0,0,6200,0,0,0,0,0,0,0,0,1200,174400.0,576.0,0,0,0,0,0,0,0,54.89452054139857,12,30.0,0,3
TRAIN_015,27.0,27.0,27.0,0,0,800,0,0,0,0,0,0,0,0,800,174400.0,176.0,0,0,0,0,0,0,0,52.94452054233607,17,30.0,0,3
TRAIN_016,27.0,27.0,27.0,0,0,5800,0,0,0,0,0,0,0,0,800,174400.0,176.0,0,0,0,0,0,0,0,52.94452054233607,17,30.0,1,3
TRAIN_017,27.0,27.0,27.0,0,0,5000,0,0,0,0,0,0,0,0,0,174400.0,624.0,0,0,0,0,0,0,0,4731.289840549079,1,,1,3
TRAIN_018,27.0,27.0,27.0,0,0,0,0,0,0,0,0,0,0,0,400,174400.0,224.0,0,0,0,0,0,0,0,55.49452053389857,8,30.0,0,3
TRAIN_019,27.0,27.0,27.0,0,0,0,0,0,0,0,0,0,0,0,0,174400.0,624.0,0,0,0,0,0,0,0,4731.289840549079,1,,0,3
TRAIN_020,27.0,27.0,27.0,0,0,0,0,0,0,0,0,0,0,0,400,174400.0,224.0,0,0,0,0,0,0,0,55.49452053389857,8,30.0,0,3
TRAIN_021,27.0,27.0,27.0,1,0,5400,0,0,0,0,0,0,0,0,400,174400.0,224.0,0,0,0,0,0,0,0,56.74452040889859,6,30.0,1,3
TRAIN_022,27.0,27.0,27.0,0,0,5000,0,0,0,0,0,0,0,0,0,174400.0,624.0,0,0,0,0,0,0,0,4731.289840549079,1,,0,3
TRAIN_023,27.0,27.0,27.0,0,0,5000,0,0,0,0,0,0,0,0,0,174400.0,624.0,0,0,0,0,0,0,0,4731.289840549079,1,,1,3
TRAIN_024,27.0,27.0,27.0,0,0,5000,0,0,0,0,0,0,0,0,0,174400.0,624.0,0,0,0,0,0,0,0,4731.289840549079,1,,0,3
