TrainID,SignallingFitnessExpiryDate_days,TelecomFitnessExpiryDate_days,RollingStockFitnessExpiryDate_days,OpenJobCards,BrandingActive_flag,MileageSinceLastServiceKM,CleaningRequired_flag,CleaningSlotStatus,JobCardStatus,ClosedJobCards,LastJobCardUpdate_days,ExposureHoursAccrued,ExposureHoursTarget,ExposureDailyQuota,TotalMileageKM,MileageBalanceVariance,MileageBalanceAbs,BrakepadWear%,HVACWear%,BayPositionID,ShuntingMovesRequired,StablingSequenceOrder,JobCardPriority,JobCardStatus_enc,Score,Rank,LastCleanedDate_days,AssignedAction,DayIndex
TRAIN_000,29.0,29.0,29.0,0,0,5400,0,0,0,0,0,0,0,0,400,41600.0,192.0,0,0,0,0,0,0,0,54.99041094609476,13,30.0,0,1
TRAIN_001,29.0,29.0,29.0,0,0,0,0,0,0,0,0,0,0,0,0,41600.0,208.0,0,0,0,0,0,0,0,1611.3888509566548,1,,1,1
TRAIN_002,29.0,29.0,29.0,0,0,5400,0,0,0,0,0,0,0,0,400,41600.0,192.0,0,0,0,0,0,0,0,54.99041094609476,13,30.0,2,1
TRAIN_003,29.0,29.0,29.0,0,0,5400,0,0,0,0,0,0,0,0,400,41600.0,192.0,0,0,0,0,0,0,0,54.99041094609476,13,30.0,1,1
TRAIN_004,29.0,29.0,29.0,0,0,5400,0,0,0,0,0,0,0,0,400,41600.0,192.0,0,0,0,0,0,0,0,54.99041094609476,13,30.0,0,1
TRAIN_005,29.0,29.0,29.0,0,0,5400,0,0,0,0,0,0,0,0,400,41600.0,192.0,0,0,0,0,0,0,0,54.99041094609476,13,30.0,0,1
TRAIN_006,29.0,29.0,29.0,0,0,5400,0,0,0,0,0,0,0,0,400,41600.0,192.0,0,0,0,0,0,0,0,54.99041094609476,13,30.0,0,1
TRAIN_007,29.0,29.0,29.0,0,0,5400,0,0,0,0,0,0,0,0,400,41600.0,192.0,0,0,0,0,0,0,0,54.99041094609476,13,30.0,0,1
TRAIN_008,29.0,29.0,29.0,0,0,5400,0,0,0,0,0,0,0,0,400,41600.0,192.0,0,0,0,0,0,0,0,54.99041094609476,13,30.0,0,1
TRAIN_009,29.0,29.0,29.0,0,0,5400,0,0,0,0,0,0,0,0,400,41600.0,192.0,0,0,0,0,0,0,0,54.99041094609476,13,30.0,1,1
TRAIN_010,29.0,29.0,29.0,0,0,5400,0,0,0,0,0,0,0,0,400,41600.0,192.0,0,0,0,0,0,0,0,54.99041094609476,13,30.0,0,1
TRAIN_011,29.0,29.0,29.0,0,0,5000,0,0,0,0,0,0,0,0,0,41600.0,208.0,0,0,0,0,0,0,0,1611.3888509566548,1,,0,1
TRAIN_012,29.0,29.0,29.0,0,0,5400,0,0,0,0,0,0,0,0,400,41600.0,192.0,0,0,0,0,0,0,0,54.99041094609476,13,30.0,0,1
TRAIN_013,29.0,29.0,29.0,0,0,5400,0,0,0,0,0,0,0,0,400,41600.0,192.0,0,0,0,0,0,0,0,54.99041094609476,13,30.0,0,1
TRAIN_014,29.0,29.0,29.0,0,0,5000,0,0,0,0,0,0,0,0,0,41600.0,208.0,0,0,0,0,0,0,0,1611.3888509566548,1,,2,1
TRAIN_015,29.0,29.0,29.0,0,0,5400,0,0,0,0,0,0,0,0,400,41600.0,192.0,0,0,0,0,0,0,0,54.99041094609476,13,30.0,1,1
TRAIN_016,29.0,29.0,29.0,0,0,5000,0,0,0,0,0,0,0,0,0,41600.0,208.0,0,0,0,0,0,0,0,1611.3888509566548,1,,2,1
TRAIN_017,29.0,29.0,29.0,0,0,5000,0,0,0,0,0,0,0,0,0,41600.0,208.0,0,0,0,0,0,0,0,1611.3888509566548,1,,1,1
TRAIN_018,29.0,29.0,29.0,0,0,5000,0,0,0,0,0,0,0,0,0,41600.0,208.0,0,0,0,0,0,0,0,1611.3888509566548,1,,0,1
TRAIN_019,29.0,29.0,29.0,0,0,5000,0,0,0,0,0,0,0,0,0,41600.0,208.0,0,0,0,0,0,0,0,1611.3888509566548,1,,0,1
TRAIN_020,29.0,29.0,29.0,0,0,5000,0,0,0,0,0,0,0,0,0,41600.0,208.0,0,0,0,0,0,0,0,1611.3888509566548,1,,0,1
TRAIN_021,29.0,29.0,29.0,0,0,0,0,0,0,0,0,0,0,0,0,41600.0,208.0,0,0,0,0,0,0,0,1611.3888509566548,1,,1,1
TRAIN_022,29.0,29.0,29.0,0,0,5000,0,0,0,0,0,0,0,0,0,41600.0,208.0,0,0,0,0,0,0,0,1611.3888509566548,1,,1,1
TRAIN_023,29.0,29.0,29.0,0,0,5000,0,0,0,0,0,0,0,0,0,41600.0,208.0,0,0,0,0,0,0,0,1611.3888509566548,1,,1,1
TRAIN_024,29.0,29.0,29.0,0,0,5000,0,0,0,0,0,0,0,0,0,41600.0,208.0,0,0,0,0,0,0,0,1611.3888509566548,1,,1,1
