TrainID,SignallingFitnessExpiryDate_days,TelecomFitnessExpiryDate_days,RollingStockFitnessExpiryDate_days,OpenJobCards,BrandingActive_flag,MileageSinceLastServiceKM,CleaningRequired_flag,CleaningSlotStatus,JobCardStatus,ClosedJobCards,LastJobCardUpdate_days,ExposureHoursAccrued,ExposureHoursTarget,ExposureDailyQuota,TotalMileageKM,MileageBalanceVariance,MileageBalanceAbs,BrakepadWear%,HVACWear%,BayPositionID,ShuntingMovesRequired,StablingSequenceOrder,JobCardPriority,JobCardStatus_enc,Score,Rank,AssignedAction,DayIndex
TRAIN_000,30,30,30,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.43835616044286,1,0,0
TRAIN_001,30,30,30,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.43835616044286,1,2,0
TRAIN_002,30,30,30,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.43835616044286,1,0,0
TRAIN_003,30,30,30,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.43835616044286,1,0,0
TRAIN_004,30,30,30,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.43835616044286,1,0,0
TRAIN_005,30,30,30,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.43835616044286,1,0,0
TRAIN_006,30,30,30,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.43835616044286,1,0,0
TRAIN_007,30,30,30,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.43835616044286,1,0,0
TRAIN_008,30,30,30,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.43835616044286,1,0,0
TRAIN_009,30,30,30,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.43835616044286,1,0,0
TRAIN_010,30,30,30,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.43835616044286,1,0,0
TRAIN_011,30,30,30,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.43835616044286,1,1,0
TRAIN_012,30,30,30,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.43835616044286,1,0,0
TRAIN_013,30,30,30,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.43835616044286,1,0,0
TRAIN_014,30,30,30,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.43835616044286,1,1,0
TRAIN_015,30,30,30,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.43835616044286,1,0,0
TRAIN_016,30,30,30,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.43835616044286,1,1,0
TRAIN_017,30,30,30,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.43835616044286,1,1,0
TRAIN_018,30,30,30,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.43835616044286,1,1,0
TRAIN_019,30,30,30,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.43835616044286,1,1,0
TRAIN_020,30,30,30,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.43835616044286,1,1,0
TRAIN_021,30,30,30,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.43835616044286,1,2,0
TRAIN_022,30,30,30,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.43835616044286,1,1,0
TRAIN_023,30,30,30,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.43835616044286,1,1,0
TRAIN_024,30,30,30,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.43835616044286,1,1,0
