Trainname,TrainID,CURRENT_DATE,RollingStockFitnessStatus,SignallingFitnessStatus,TelecomFitnessStatus,RollingStockFitnessExpiryDate,SignallingFitnessExpiryDate,TelecomFitnessExpiryDate,JobCardStatus,OpenJobCards,ClosedJobCards,LastJobCardUpdate,BrandingActive,BrandCampaignID,ExposureHoursAccrued,ExposureHoursTarget,ExposureDailyQuota,TotalMileageKM,MileageSinceLastServiceKM,MileageBalanceVariance,BrakepadWear%,HVACWear%,CleaningRequired,CleaningSlotStatus,BayOccupancyIDC,LastCleanedDate,BayPositionID,ShuntingMovesRequired,StablingSequenceOrder,JobCardPriority,BrandingCompletionRatio,MileageBalanceAbs,CleaningPriority,ShuntingPriority,SignallingFitnessExpiryDate_days,TelecomFitnessExpiryDate_days,RollingStockFitnessExpiryDate_days,LastJobCardUpdate_days,LastCleanedDate_days,CleaningRequired_flag,BrandingActive_flag,JobCardStatus_enc,Score,Rank,AssignedAction,DayIndex
Narmada,T19,16-09-2025,True,True,True,30-09-2026,16-08-2026,08-07-2026,close,1,1,08-02-2023,False,,0,0,0,11506.0,400.0,29220864163.61,14.27,18.16,False,0,,16-09-2025,13.0,0.0,1.0,0,1.0,177172.88,0,0.0,327,288,372,-952,30,0,0,0,180.5454952089341,4,0,6
Tapti,T02,16-09-2025,True,True,True,14-05-2026,22-04-2026,17-03-2026,close,0,0,01-02-2025,False,,0,0,0,17069.0,0.0,29220864163.61,11.27,17.16,False,0,,16-09-2025,1.0,2.0,3.0,0,1.0,171609.88,0,2.0,211,175,233,-228,30,0,0,0,134.29459976192558,7,0,6
Nila,T03,16-09-2025,True,True,True,08-07-2026,11-01-2026,02-06-2026,close,0,2,02-03-2025,False,,0,0,0,46542.0,0.0,29220864163.61,59.27,38.16,False,0,,16-09-2025,5.0,0.0,1.0,0,1.0,142136.88,0,0.0,110,252,288,-199,30,0,0,0,78.17858777408172,12,0,6
Pavan,T25,16-09-2025,True,True,True,14-09-2026,27-10-2026,18-06-2026,close,0,7,14-08-2025,False,,0,0,0,359939.0,400.0,29220864163.61,43.27,7.16,False,0,,16-09-2025,2.0,0.0,1.0,0,1.0,171260.12,0,0.0,399,268,356,-34,30,0,0,0,66.4178388664847,18,0,6
Mahe,T20,16-09-2025,True,True,True,12-02-2026,07-01-2026,20-05-2026,close,0,1,07-06-2025,False,,0,0,0,482623.0,400.0,29220864163.61,63.27,5.16,False,0,,16-09-2025,13.0,0.0,1.0,0,1.0,293944.12,0,0.0,106,239,142,-102,30,0,0,0,59.650106889044025,21,0,6
Sarayu,T04,16-09-2025,True,True,True,09-21-2026,14-03-2026,10-08-2026,open,2,6,15-06-2025,False,,0,0,0,386291.0,1200.0,29220864163.61,45.27,3.16,False,0,,16-09-2025,4.0,0.0,1.0,1,1.0,197612.12,0,0.0,172,321,9993,-94,30,0,0,1,64.58329634993373,19,1,6
Mandakini,T11,16-09-2025,True,True,True,11-06-2026,14-09-2026,21-08-2026,open,2,8,17-05-2024,True,KMM-RLJ-WRP-25-06,368,320,16,223727.0,2000.0,29220864163.61,14.0,100.0,False,0,,16-09-2025,4.0,0.0,1.0,1,0.9,35048.119999999995,0,0.0,356,332,261,-488,30,0,1,1,82.0927260177015,10,0,6
Jhanavi,T07,16-09-2025,True,True,True,03-08-2026,27-05-2026,01-12-2026,open,0,2,23-08-2024,True,KMM-RLJ-WRP-25-04,362,320,16,224447.0,1200.0,29220864163.61,0.27,65.16,False,0,,16-09-2025,15.0,2.0,3.0,1,0.98125,35768.119999999995,0,2.0,246,434,314,-390,30,0,1,1,75.9897286885028,14,2,6
Kaveri,T16,16-09-2025,True,True,True,17-03-2026,09-04-2026,11-02-2026,close,0,5,09-05-2025,False,,0,0,0,401647.0,800.0,29220864163.61,78.27,23.16,False,0,,16-09-2025,9.0,1.0,2.0,0,1.0,212968.12,0,1.0,198,141,175,-131,30,0,0,0,60.98705179620362,20,2,6
Aruth,T05,16-09-2025,True,True,True,05-12-2026,30-09-2026,29-04-2026,close,1,1,19-08-2025,False,,0,0,0,9420.0,4369.0,29220864163.61,78.27,8.16,True,0,BAY_02,2023-04-06,12.0,0.0,1.0,0,1.0,179258.88,1,0.0,372,218,438,-29,30,0,0,0,204.42409284229433,3,0,6
Shiriya,T17,16-09-2025,True,True,True,22-10-2026,03-12-2026,14-11-2026,open,1,3,05-11-2024,False,,0,0,0,173074.0,2000.0,29220864163.61,21.27,13.16,False,0,,16-09-2025,4.0,1.0,2.0,1,1.0,15604.880000000005,0,1.0,436,417,394,-316,30,0,0,1,72.16937336747174,15,0,6
Pampa,T18,16-09-2025,True,True,True,19-07-2026,24-05-2026,29-03-2026,close,0,5,28-08-2024,False,,0,0,0,17571.0,8871.0,29220864163.61,72.27,24.16,True,0,BAY_03,2023-12-03,10.0,1.0,2.0,0,1.0,171107.88,1,1.0,243,187,299,-385,30,0,0,0,132.25138594734153,8,0,6
Bhavani,T09,16-09-2025,True,True,True,25-02-2026,21-05-2026,18-04-2026,open,0,2,20-10-2025,True,KMM-RLJ-WRP-25-05,335,320,16,127490.0,400.0,29220864163.61,25.0,99.0,True,0,BAY_01,2024-07-01,7.0,0.0,1.0,1,0.946875,61188.880000000005,1,0.0,240,207,155,33,30,0,1,1,76.0242857131613,13,0,6
Yamuna,T12,16-09-2025,True,True,True,23-04-2026,19-02-2026,09-11-2026,open,1,3,09-05-2024,False,,0,0,0,11834.0,1600.0,29220864163.61,85.0,95.0,False,0,,16-09-2025,9.0,2.0,3.0,3,1.0,176844.88,0,2.0,149,412,212,-496,30,0,0,1,170.97230423105344,6,2,6
Ganga,T24,16-09-2025,True,True,True,05-05-2026,22-11-2026,16-03-2026,open,0,8,04-05-2025,False,,0,0,0,47856.0,400.0,29220864163.61,42.27,37.16,True,0,BAY_07,2023-04-11,13.0,1.0,2.0,1,1.0,140822.88,1,1.0,425,174,224,-136,30,0,0,1,80.66225005816659,11,0,6
Vaayu,T15,16-09-2025,True,True,True,09-08-2026,13-06-2026,27-07-2026,open,2,6,05-09-2025,True,KMM-RLJ-WRP-25-08,339,320,16,78444.0,1200.0,29220864163.61,69.0,99.0,True,0,BAY_09,2024-09-23,11.0,2.0,3.0,3,0.909375,110234.88,1,2.0,263,307,320,-12,30,0,1,1,88.64910224473508,9,2,6
Vaigai,T06,16-09-2025,True,True,True,14-11-2026,19-07-2026,23-06-2026,open,1,8,28-07-2025,False,,0,0,0,350045.0,3884.0,29220864163.61,73.27,28.16,True,0,BAY_05,2023-04-11,11.0,2.0,3.0,1,1.0,161366.12,1,2.0,299,273,417,-51,30,0,0,1,68.29644179061802,17,0,6
Godhavari,T23,16-09-2025,True,True,True,18-12-2026,14-08-2026,05-09-2026,open,2,3,17-06-2024,False,,0,0,0,254365.0,1772.0,29220864163.61,79.27,72.16,True,0,BAY_10,2023-06-07,3.0,0.0,1.0,1,1.0,65686.12,1,0.0,325,347,451,-457,30,0,0,1,70.01895912518037,16,0,6
Sabarmathi,T22,16-09-2025,True,True,False,28-04-2026,30-07-2026,11-09-2025,open,0,6,19-05-2024,False,,0,0,0,405520.0,0.0,29220864163.61,46.0,90.0,False,0,,16-09-2025,6.0,1.0,2.0,2,1.0,216841.12,0,1.0,310,-12,217,-486,-1,0,0,1,53.68508461675103,25,1,6
Krishna,T01,16-09-2025,False,True,False,12-08-2025,01-03-2026,10-07-2025,open,2,8,17-03-2023,True,KMM-RLJ-WRP-25-01,288,320,16,5195.0,0.0,29220864163.61,40.27,59.16,True,0,BAY_08,2023-08-05,11.0,0.0,1.0,5,0.9,183483.88,1,0.0,159,-75,-42,-915,-774,0,1,1,326.29902748847036,2,1,6
Kabani,T14,16-09-2025,False,False,False,20-11-2024,05-12-2024,18-01-2025,open,5,2,30-08-2025,False,,0,0,0,10051.0,0.0,29220864163.61,0.27,71.16,False,0,,16-09-2025,4.0,2.0,3.0,5,1.0,178627.88,0,2.0,-292,-248,-307,-18,-1,0,0,1,176.0411246112628,5,1,6
Padma,T10,16-09-2025,False,True,False,29-07-2025,03-03-2026,02-05-2025,open,3,2,12-08-2025,False,,0,0,0,4020.0,0.0,29220864163.61,56.27,89.16,True,0,BAY_06,2023-11-19,1.0,0.0,1.0,5,1.0,184658.88,1,0.0,161,-144,-56,-36,-668,0,0,1,391.35872579007014,1,1,6
Periyar,T13,16-09-2025,False,False,False,15-01-2025,28-02-2025,12-03-2025,open,2,2,12-01-2025,True,KMM-RLJ-WRP-25-07,312,320,16,247938.0,0.0,29220864163.61,55.27,35.16,True,0,BAY_04,2024-07-19,1.0,2.0,3.0,7,0.975,59259.119999999995,1,2.0,-207,-195,-251,-248,-425,0,1,1,57.367900816463916,23,1,6
Dhwanil,T08,16-09-2025,False,True,False,18-04-2025,15-01-2026,20-06-2025,open,7,2,24-09-2025,False,,0,0,0,338515.0,2750.0,29220864163.61,0.27,5.16,False,0,,16-09-2025,2.0,2.0,3.0,7,1.0,149836.12,0,2.0,114,-95,-158,7,-1,0,0,1,58.01491240852352,22,1,6
